Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.bivariate.y * exp ((x * x) + y).transformers,1380142,88642,2438,0,35651584
All.bivariate.y * exp ((x * x) + y).ad,1984566,193804,4067,0,35651584
All.bivariate.y * exp ((x * x) + y).ad/double,1906422,177628,4065,0,35651584
All.bivariate.y * exp ((x * x) + y).backprop,2447091,109660,7106,0,35651584
All.bivariate.y * exp ((x * x) + y).primops,469826,34320,1019,0,35651584
All.bivariate.y * exp ((x * x) + y).primops/double,286358,12822,1070,0,35651584
