Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.bivariate.(((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1)).transformers,3413433,188422,6112,0,35651584
All.bivariate.(((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1)).ad,3435928,220052,6903,0,35651584
All.bivariate.(((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1)).ad/double,2872679,230664,6907,0,35651584
All.bivariate.(((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1)).backprop,4818040,182760,14126,0,35651584
All.bivariate.(((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1)).primops,1613117,91738,3462,0,35651584
All.bivariate.(((x * cos x) + y) ^ 2) * exp (x * sin ((x + (y * y)) + 1)).primops/double,1043811,86854,3455,0,35651584
