Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.4-ary.(log ((x ^ 2) + w) / (log (x + w) ^ 4)) * exp (x + (cos ((y ^ 2) * sin z) * w)).transformers,6337219,370894,9764,0,35651584
All.4-ary.(log ((x ^ 2) + w) / (log (x + w) ^ 4)) * exp (x + (cos ((y ^ 2) * sin z) * w)).ad,5714521,361656,9757,0,35651584
All.4-ary.(log ((x ^ 2) + w) / (log (x + w) ^ 4)) * exp (x + (cos ((y ^ 2) * sin z) * w)).ad/double,4815505,342856,9748,0,35651584
All.4-ary.(log ((x ^ 2) + w) / (log (x + w) ^ 4)) * exp (x + (cos ((y ^ 2) * sin z) * w)).backprop,7877216,366460,21900,2,35651584
All.4-ary.(log ((x ^ 2) + w) / (log (x + w) ^ 4)) * exp (x + (cos ((y ^ 2) * sin z) * w)).primops,2638999,197734,8161,0,35651584
All.4-ary.(log ((x ^ 2) + w) / (log (x + w) ^ 4)) * exp (x + (cos ((y ^ 2) * sin z) * w)).primops/double,1808872,179354,6930,0,35651584
